October 21,2018,06:01AM,Rain Shower,15 C
August 05,2017,09:18PM,Rain Shower,16 C
August 27,2018,04:41AM,Rain Shower,16 C
July 11,2018,08:27PM,Rain Shower,16 C
July 29,2016,03:42AM,Showers,16 C
June 21,2016,07:01AM,Showers,16 C
September 22,2016,06:03AM,Few Showers,17 C
August 21,2017,01:41PM,Light Rain,17 C
August 05,2017,04:08AM,Rain Shower,17 C
August 06,2018,10:58PM,Rain Shower,17 C
August 07,2018,01:13AM,Rain Shower,17 C
August 07,2018,03:38AM,Rain Shower,17 C
August 26,2018,07:46PM,Rain Shower,17 C
August 26,2018,10:01PM,Rain Shower,17 C
May 12,2017,03:03AM,Rain Shower,17 C
September 05,2018,09:52PM,Rain Shower,17 C
April 29,2016,07:02AM,Showers,17 C
November 19,2016,04:46AM,Showers,17 C
August 18,2017,01:22AM,Light Rain,18 C
June 15,2018,04:41AM,Light Rain,18 C
May 11,2017,09:58PM,Light Rain,18 C
August 01,2018,10:03PM,Rain,18 C
August 02,2018,12:33AM,Rain,18 C
August 21,2017,05:46AM,Rain,18 C
November 21,2018,02:48AM,Rain,18 C
August 02,2018,09:37PM,Rain Shower,18 C
August 04,2018,02:52AM,Rain Shower,18 C
August 05,2017,06:53PM,Rain Shower,18 C
August 20,2017,11:51PM,Rain Shower,18 C
August 26,2018,05:27PM,Rain Shower,18 C
July 02,2017,05:15PM,Rain Shower,18 C
June 17,2018,06:39AM,Rain Shower,18 C
May 23,2018,09:34PM,Rain Shower,18 C
September 01,2017,02:39AM,Rain Shower,18 C
June 07,2016,07:03AM,Showers,18 C
June 07,2016,08:13PM,Showers,18 C
May 13,2016,07:22PM,Showers,18 C
May 15,2016,02:50AM,Showers,18 C
September 30,2016,04:26AM,Few Showers,19 C
April 23,2017,04:46AM,Light Rain,19 C
August 06,2018,06:58AM,Light Rain,19 C
July 04,2017,05:10PM,Light Rain,19 C
July 31,2018,07:48PM,Light Rain,19 C
June 18,2018,09:38PM,Light Rain,19 C
May 18,2017,01:43AM,Light Rain,19 C
May 19,2017,03:44AM,Light Rain,19 C
October 05,2015,10:07PM,Light Rain,19 C
October 19,2015,06:34AM,Light Rain,19 C
April 28,2017,10:02AM,Rain,19 C
August 01,2018,05:03PM,Rain,19 C
August 18,2017,04:57PM,Rain,19 C
July 25,2018,02:32AM,Rain,19 C
June 03,2016,10:52PM,Rain,19 C
June 05,2018,06:16PM,Rain,19 C
June 07,2018,06:47AM,Rain,19 C
June 20,2017,10:41PM,Rain,19 C
November 09,2017,03:03PM,Rain,19 C
September 01,2016,02:02AM,Rain,19 C
September 27,2017,05:20PM,Rain,19 C
April 01,2017,11:47PM,Rain Shower,19 C
August 03,2018,11:32PM,Rain Shower,19 C
August 04,2017,07:43PM,Rain Shower,19 C
August 10,2017,10:48PM,Rain Shower,19 C
August 16,2017,05:42PM,Rain Shower,19 C
August 16,2018,09:35PM,Rain Shower,19 C
August 17,2018,06:01PM,Rain Shower,19 C
June 04,2018,10:16AM,Rain Shower,19 C
June 15,2018,05:54PM,Rain Shower,19 C
June 16,2018,10:49PM,Rain Shower,19 C
May 07,2017,11:07PM,Rain Shower,19 C
May 25,2018,10:46PM,Rain Shower,19 C
November 20,2018,08:03PM,Rain Shower,19 C
October 06,2018,08:25PM,Rain Shower,19 C
October 28,2018,11:22PM,Rain Shower,19 C
April 29,2016,08:07PM,Showers,19 C
June 02,2016,04:51AM,Showers,19 C
June 04,2016,06:50AM,Showers,19 C
October 05,2016,02:27AM,Showers,19 C
September 01,2016,08:02AM,Showers,19 C
December 01,2016,12:26AM,Few Showers,20 C
September 08,2016,12:31AM,Few Showers,20 C
August 19,2017,07:51PM,Light Rain,20 C
August 26,2018,06:22AM,Light Rain,20 C
January 19,2016,07:34AM,Light Rain,20 C
July 22,2018,04:28AM,Light Rain,20 C
November 21,2015,12:38PM,Light Rain,20 C
October 05,2015,06:56AM,Light Rain,20 C
October 05,2015,07:53PM,Light Rain,20 C
October 06,2018,06:10PM,Light Rain,20 C
October 18,2015,06:53PM,Light Rain,20 C
October 18,2015,08:23AM,Light Rain,20 C
August 06,2018,11:18AM,Rain,20 C
February 06,2018,03:05AM,Rain,20 C
September 14,2018,07:49PM,Rain,20 C
August 07,2018,03:58PM,Rain Shower,20 C
August 15,2017,06:49PM,Rain Shower,20 C
August 27,2018,02:41PM,Rain Shower,20 C
August 31,2017,06:39PM,Rain Shower,20 C
July 21,2018,10:28PM,Rain Shower,20 C
July 24,2018,09:22PM,Rain Shower,20 C
June 04,2018,04:16PM,Rain Shower,20 C
June 08,2018,12:17AM,Rain Shower,20 C
November 01,2017,04:36AM,Rain Shower,20 C
October 29,2018,09:21AM,Rain Shower,20 C
June 02,2016,11:29PM,Showers,20 C
October 02,2016,06:07PM,Few Showers,21 C
October 06,2016,07:37AM,Few Showers,21 C
October 10,2016,05:36PM,Few Showers,21 C
October 10,2016,07:21PM,Few Showers,21 C
October 30,2016,10:02AM,Few Showers,21 C
September 16,2016,01:38AM,Few Showers,21 C
September 26,2016,03:31PM,Few Showers,21 C
September 27,2016,06:15PM,Few Showers,21 C
September 30,2016,06:11AM,Few Showers,21 C
April 21,2018,05:09AM,Light Rain,21 C
December 07,2015,02:19PM,Light Rain,21 C
February 05,2018,06:16AM,Light Rain,21 C
February 29,2016,11:55PM,Light Rain,21 C
January 19,2016,12:04AM,Light Rain,21 C
January 21,2016,04:29AM,Light Rain,21 C
